,drug_a_name,drug_b_name,cell_line,synergy,fold
170,ETOPOSIDE,DINACICLIB,A2058,-6.5434303497,1
171,ETOPOSIDE,SORAFENIB,A2058,-12.1550362495,1
173,ETOPOSIDE,BEZ-235,A2058,2.8340783444,2
174,ETOPOSIDE,ERLOTINIB,A2058,1.9880474087,2
175,ETOPOSIDE,MK-2206,A2058,23.8414603018,2
176,ETOPOSIDE,MK-4827,A2058,-1.3765989569,2
177,ETOPOSIDE,MK-8776,A2058,57.6790160624,2
178,ETOPOSIDE,ZOLINZA,A2058,3.4522398712,2
179,ETOPOSIDE,ABT-888,A2058,1.9172216639,3
180,ETOPOSIDE,AZD1775,A2058,15.4450109447,3
181,ETOPOSIDE,SUNITINIB,A2058,-6.9721696863,3
182,ETOPOSIDE,DASATINIB,A2058,11.2051228578,4
183,ETOPOSIDE,LAPATINIB,A2058,-0.8609223723,4
184,ETOPOSIDE,MK-5108,A2058,-0.7154277824,4
185,ETOPOSIDE,PD325901,A2058,22.1734878239,4
186,GELDANAMYCIN,SN-38,A2058,19.0185063841,1
187,GELDANAMYCIN,BEZ-235,A2058,34.5733358528,2
188,GELDANAMYCIN,DINACICLIB,A2058,5.9678757799,2
190,GELDANAMYCIN,SORAFENIB,A2058,8.8068852279,2
191,GELDANAMYCIN,TOPOTECAN,A2058,22.3865856546,3
192,GELDANAMYCIN,MK-8776,A2058,51.4196349082,4
193,GEMCITABINE,ABT-888,A2058,-0.5367336044,0
194,GEMCITABINE,BEZ-235,A2058,13.2309693062,0
195,GEMCITABINE,GELDANAMYCIN,A2058,8.9984178543,0
196,GEMCITABINE,LAPATINIB,A2058,-0.1023817456,0
197,GEMCITABINE,ERLOTINIB,A2058,4.2865172217,1
198,GEMCITABINE,MK-2206,A2058,19.2467621185,1
199,GEMCITABINE,PD325901,A2058,8.2015114798,1
200,GEMCITABINE,SORAFENIB,A2058,-15.0148790625,1
201,GEMCITABINE,DASATINIB,A2058,9.7533108463,2
202,GEMCITABINE,MK-8669,A2058,16.2478514617,2
203,GEMCITABINE,SUNITINIB,A2058,-2.4779876431,2
205,GEMCITABINE,MK-8776,A2058,77.4605389165,2
206,GEMCITABINE,DINACICLIB,A2058,-1.9476444593,3
207,GEMCITABINE,MK-4827,A2058,-3.7686043288,3
208,GEMCITABINE,AZD1775,A2058,15.95333660155,3
209,GEMCITABINE,BORTEZOMIB,A2058,-3.1185354264,4
210,GEMCITABINE,MK-5108,A2058,6.5846946018,4
211,L778123,BEZ-235,A2058,33.0346592892,0
212,L778123,ERLOTINIB,A2058,9.9628815352,0
213,L778123,GELDANAMYCIN,A2058,25.8107970161,0
214,L778123,MK-2206,A2058,27.8589690382,0
215,L778123,MK-5108,A2058,25.4027630952,0
217,L778123,TOPOTECAN,A2058,45.1032000114,0
218,L778123,ABT-888,A2058,6.1419773206,1
219,L778123,PD325901,A2058,9.0945023239,1
220,L778123,ZOLINZA,A2058,9.3180961428,1
221,L778123,BORTEZOMIB,A2058,6.1744305993,2
222,L778123,ETOPOSIDE,A2058,24.9439129015,2
223,L778123,MK-8776,A2058,34.4043337241,2
225,L778123,SN-38,A2058,40.8106020289,2
226,L778123,SUNITINIB,A2058,21.0205887367,2
227,L778123,DASATINIB,A2058,38.9468173946,3
228,L778123,DINACICLIB,A2058,12.7424839147,3
229,L778123,LAPATINIB,A2058,15.567887115,3
230,L778123,MK-4827,A2058,32.1703331768,3
231,L778123,VINORELBINE,A2058,24.0346419433,3
232,L778123,MK-8669,A2058,46.454517405749996,3
233,L778123,GEMCITABINE,A2058,10.3514775815,4
234,L778123,SORAFENIB,A2058,23.1874577737,4
235,L778123,AZD1775,A2058,6.042479323299999,4
236,LAPATINIB,BORTEZOMIB,A2058,14.5104381684,0
237,LAPATINIB,MK-8776,A2058,22.6345524057,0
239,LAPATINIB,DASATINIB,A2058,53.5344245218,1
240,LAPATINIB,PD325901,A2058,44.5395978501,1
241,LAPATINIB,TOPOTECAN,A2058,22.0435075766,1
242,LAPATINIB,ABT-888,A2058,7.0327534722,2
243,LAPATINIB,MK-8669,A2058,32.5370692076,2
244,LAPATINIB,MK-2206,A2058,41.77696806285,2
245,LAPATINIB,DINACICLIB,A2058,12.2502026071,3
246,LAPATINIB,ERLOTINIB,A2058,-1.7745489064,3
247,LAPATINIB,GELDANAMYCIN,A2058,12.5474768449,3
248,LAPATINIB,MK-4827,A2058,17.4246049286,3
249,LAPATINIB,SN-38,A2058,22.2032431557,3
250,LAPATINIB,SORAFENIB,A2058,18.2991878509,3
251,LAPATINIB,BEZ-235,A2058,34.8835732671,4
252,LAPATINIB,MK-5108,A2058,-0.5941800601,4
253,METFORMIN,DASATINIB,A2058,17.0314701547,0
254,METFORMIN,ERLOTINIB,A2058,4.9388424973,0
255,METFORMIN,L778123,A2058,8.3082311475,0
256,METFORMIN,MK-8669,A2058,26.6315134705,0
257,METFORMIN,MK-8776,A2058,0.133987742,0
258,METFORMIN,AZD1775,A2058,8.488617477,1
259,METFORMIN,PD325901,A2058,26.4094775982,1
260,METFORMIN,SUNITINIB,A2058,7.3881584045,1
261,METFORMIN,ABT-888,A2058,8.236009194,2
262,METFORMIN,MK-4827,A2058,10.7040637514,2
263,METFORMIN,MK-5108,A2058,2.6047924437,2
264,METFORMIN,BEZ-235,A2058,28.1688860793,3
265,METFORMIN,GELDANAMYCIN,A2058,3.1267915116,3
266,METFORMIN,LAPATINIB,A2058,10.7432868809,3
267,METFORMIN,SORAFENIB,A2058,16.7756024511,3
269,METFORMIN,BORTEZOMIB,A2058,-20.4669230884,4
270,METFORMIN,DINACICLIB,A2058,2.4158587026,4
271,METFORMIN,MK-2206,A2058,12.7566739645,4
272,METFORMIN,ZOLINZA,A2058,6.4784029993,4
273,METHOTREXATE,AZD1775,A2058,-15.7931996972,0
274,METHOTREXATE,BEZ-235,A2058,-38.0121296961,0
275,METHOTREXATE,DINACICLIB,A2058,-13.7468173916,0
276,METHOTREXATE,GELDANAMYCIN,A2058,-44.185155928,0
277,METHOTREXATE,LAPATINIB,A2058,-15.231828394,0
278,METHOTREXATE,MK-4827,A2058,-25.7708309529,0
279,METHOTREXATE,MK-5108,A2058,-22.6451305694,0
280,METHOTREXATE,MK-8669,A2058,-21.6690657253,0
281,METHOTREXATE,SUNITINIB,A2058,-14.3565107625,0
282,METHOTREXATE,ZOLINZA,A2058,-33.7833756444,0
283,METHOTREXATE,MK-2206,A2058,-11.8900874783,1
284,METHOTREXATE,MK-8776,A2058,-10.8245937728,1
285,METHOTREXATE,BORTEZOMIB,A2058,-28.0330924798,2
286,METHOTREXATE,ERLOTINIB,A2058,-7.975537017,2
287,METHOTREXATE,L778123,A2058,-13.8477118071,2
288,METHOTREXATE,ABT-888,A2058,-20.9261154411,3
289,METHOTREXATE,SORAFENIB,A2058,-10.3285896176,3
291,METHOTREXATE,DASATINIB,A2058,-9.8923728634,4
292,METHOTREXATE,PD325901,A2058,-19.3802787068,4
313,MK-2206,TOPOTECAN,A2058,9.8021510298,0
314,MK-2206,SN-38,A2058,17.1730240469,1
315,MK-2206,ERLOTINIB,A2058,21.79260474125,1
316,MK-2206,BEZ-235,A2058,57.2908346809,2
317,MK-2206,MK-8669,A2058,51.3989688437,2
318,MK-2206,GELDANAMYCIN,A2058,18.7923821606,3
319,MK-2206,ABT-888,A2058,17.2646060268,4
320,MK-2206,BORTEZOMIB,A2058,-0.3858569755,4
321,MK-2206,DASATINIB,A2058,89.3677389712,4
322,MK-2206,DINACICLIB,A2058,9.9732875067,4
323,MK-2206,MK-8776,A2058,20.1084309197,4
325,MK-2206,PD325901,A2058,45.152886764,4
326,MK-2206,SORAFENIB,A2058,15.7666393124,4
364,MK-4827,BEZ-235,A2058,0.5731306047,0
365,MK-4827,DINACICLIB,A2058,-3.3243916759,0
367,MK-4827,BORTEZOMIB,A2058,1.361695813,1
368,MK-4827,MK-2206,A2058,49.6182605652,1
369,MK-4827,MK-8776,A2058,59.7195734534,1
370,MK-4827,DASATINIB,A2058,15.1210535378,2
371,MK-4827,MK-8669,A2058,10.3410755451,2
372,MK-4827,SN-38,A2058,20.63773682695,2
373,MK-4827,GELDANAMYCIN,A2058,33.0257256486,3
374,MK-4827,PD325901,A2058,6.3581841416,3
375,MK-4827,SORAFENIB,A2058,-11.7275598816,3
376,MK-4827,ABT-888,A2058,-21.7095850302,4
377,MK-4827,ERLOTINIB,A2058,13.7398791241,4
378,MK-4827,TOPOTECAN,A2058,-1.5630949819,4
379,MK-5108,MK-8776,A2058,-4.9720354042,0
380,MK-5108,ABT-888,A2058,14.4110973025,1
381,MK-5108,BEZ-235,A2058,10.9771609247,1
382,MK-5108,DASATINIB,A2058,31.7288985973,1
383,MK-5108,ERLOTINIB,A2058,-5.2838859363,1
384,MK-5108,GELDANAMYCIN,A2058,-11.074795953,1
385,MK-5108,SN-38,A2058,-7.8878246555,1
386,MK-5108,SORAFENIB,A2058,-9.5095105454,1
387,MK-5108,BORTEZOMIB,A2058,-4.6284858456,2
388,MK-5108,PD325901,A2058,-8.2137415585,2
389,MK-5108,DINACICLIB,A2058,-8.5089844634,3
390,MK-5108,MK-2206,A2058,2.1837131891,3
391,MK-5108,MK-4827,A2058,29.7188981207,3
392,MK-5108,MK-8669,A2058,17.8854604204,3
394,MK-5108,TOPOTECAN,A2058,13.6295076152,3
396,MK-8669,MK-8776,A2058,61.7862482518,2
397,MK-8669,TOPOTECAN,A2058,-12.6679177751,2
398,MK-8669,BEZ-235,A2058,86.5985705826,3
399,MK-8669,DINACICLIB,A2058,14.964845325,3
400,MK-8669,SN-38,A2058,13.356832591,3
401,MK-8669,GELDANAMYCIN,A2058,20.585916368,4
402,MK-8669,SORAFENIB,A2058,16.3623864142,4
442,PACLITAXEL,ABT-888,A2058,-4.8109448763,0
443,PACLITAXEL,DASATINIB,A2058,28.7258616197,0
444,PACLITAXEL,L778123,A2058,17.6797373909,0
445,PACLITAXEL,MK-8776,A2058,10.0607489979,0
446,PACLITAXEL,SUNITINIB,A2058,-3.3366904546,0
447,PACLITAXEL,LAPATINIB,A2058,-5.178457846,1
448,PACLITAXEL,MK-5108,A2058,23.7017334189,1
449,PACLITAXEL,GELDANAMYCIN,A2058,-28.9888961542,2
450,PACLITAXEL,MK-2206,A2058,6.2950237805,2
451,PACLITAXEL,MK-4827,A2058,-16.6677417803,2
452,PACLITAXEL,BEZ-235,A2058,-5.0073360703,3
454,PACLITAXEL,ZOLINZA,A2058,-27.821045865,3
455,PACLITAXEL,AZD1775,A2058,-10.3053137618,4
456,PACLITAXEL,BORTEZOMIB,A2058,-19.1243988813,4
457,PACLITAXEL,DINACICLIB,A2058,-18.6919712375,4
458,PACLITAXEL,ERLOTINIB,A2058,-12.6293309857,4
459,PACLITAXEL,MK-8669,A2058,10.9895380957,4
460,PACLITAXEL,PD325901,A2058,1.72489134,4
461,PACLITAXEL,SORAFENIB,A2058,-11.1855334473,4
462,PD325901,DINACICLIB,A2058,-1.4847763919,0
464,PD325901,SORAFENIB,A2058,32.7549342489,0
465,PD325901,MK-8669,A2058,50.5997288547,1
466,PD325901,ABT-888,A2058,3.7561185539,2
467,PD325901,BEZ-235,A2058,56.5529882885,2
468,PD325901,GELDANAMYCIN,A2058,-15.6431804737,2
469,PD325901,MK-8776,A2058,26.9700035439,2
470,PD325901,SN-38,A2058,-6.3721332337,2
471,PD325901,TOPOTECAN,A2058,16.0830008283,2
472,PD325901,DASATINIB,A2058,34.4118328637,3
473,PD325901,BORTEZOMIB,A2058,6.8966421956,4
474,SN-38,DINACICLIB,A2058,-10.0556212342,0
475,SN-38,MK-8776,A2058,24.3993434474,0
476,SN-38,SORAFENIB,A2058,-6.3480466167,2
477,SORAFENIB,DINACICLIB,A2058,-3.5451958169,1
478,SORAFENIB,MK-8776,A2058,9.9813495803,4
479,SUNITINIB,DINACICLIB,A2058,5.6552829372,0
480,SUNITINIB,MK-5108,A2058,-6.0717543509,0
481,SUNITINIB,BEZ-235,A2058,24.6600221722,1
482,SUNITINIB,DASATINIB,A2058,41.5825128512,1
483,SUNITINIB,MK-4827,A2058,-4.3871786723,1
484,SUNITINIB,SN-38,A2058,-5.5737187652,1
485,SUNITINIB,AZD1775,A2058,-3.4218589134,2
486,SUNITINIB,ERLOTINIB,A2058,14.1014713788,2
487,SUNITINIB,MK-8776,A2058,26.4225380218,2
489,SUNITINIB,TOPOTECAN,A2058,-7.8780762106,2
490,SUNITINIB,MK-2206,A2058,42.28215967915,2
491,SUNITINIB,GELDANAMYCIN,A2058,7.8956441196,3
492,SUNITINIB,LAPATINIB,A2058,32.9188822173,3
494,SUNITINIB,SORAFENIB,A2058,-4.8611102782,3
495,SUNITINIB,ABT-888,A2058,11.5575850657,4
496,SUNITINIB,BORTEZOMIB,A2058,-3.7892011905,4
497,SUNITINIB,MK-8669,A2058,39.694651966,4
498,SUNITINIB,PD325901,A2058,16.7669354147,4
518,TOPOTECAN,BEZ-235,A2058,5.4005821036,1
519,TOPOTECAN,DINACICLIB,A2058,-8.4724776932,2
520,TOPOTECAN,SORAFENIB,A2058,-1.5648727828,2
521,TOPOTECAN,MK-8776,A2058,41.5638481911,4
522,VINBLASTINE,DASATINIB,A2058,41.6650810957,0
523,VINBLASTINE,DINACICLIB,A2058,-17.0824533367,0
524,VINBLASTINE,MK-2206,A2058,2.4971286772,0
525,VINBLASTINE,MK-8669,A2058,50.4857898195,0
526,VINBLASTINE,MK-8776,A2058,13.5495395557,0
527,VINBLASTINE,AZD1775,A2058,6.7919350747,1
528,VINBLASTINE,BORTEZOMIB,A2058,-10.5541916499,1
529,VINBLASTINE,GELDANAMYCIN,A2058,-12.8722948675,1
530,VINBLASTINE,SORAFENIB,A2058,25.434491904,1
531,VINBLASTINE,ZOLINZA,A2058,-21.5181259962,1
532,VINBLASTINE,BEZ-235,A2058,15.8366268093,2
533,VINBLASTINE,L778123,A2058,82.5166518427,2
534,VINBLASTINE,MK-5108,A2058,23.6953725216,2
535,VINBLASTINE,SUNITINIB,A2058,1.691645593,2
536,VINBLASTINE,ABT-888,A2058,-6.2603058717,3
537,VINBLASTINE,ERLOTINIB,A2058,85.5793936509,3
539,VINBLASTINE,LAPATINIB,A2058,28.7220464083,4
540,VINBLASTINE,MK-4827,A2058,-13.3879235048,4
541,VINBLASTINE,PD325901,A2058,14.1881072772,4
542,VINORELBINE,MK-2206,A2058,-7.3035783725,0
544,VINORELBINE,ERLOTINIB,A2058,-13.1899854247,1
545,VINORELBINE,LAPATINIB,A2058,-16.5078359163,1
546,VINORELBINE,MK-8776,A2058,-8.0605287717,1
547,VINORELBINE,PD325901,A2058,-27.2269414331,1
548,VINORELBINE,SORAFENIB,A2058,-11.6225289101,1
549,VINORELBINE,ZOLINZA,A2058,-40.1043144117,1
550,VINORELBINE,DASATINIB,A2058,0.8444209892,2
551,VINORELBINE,DINACICLIB,A2058,-16.0429611029,2
552,VINORELBINE,GELDANAMYCIN,A2058,-8.5660325546,2
553,VINORELBINE,SUNITINIB,A2058,-13.1617410674,2
554,VINORELBINE,ABT-888,A2058,-14.7294813578,3
555,VINORELBINE,BORTEZOMIB,A2058,-29.6509663979,3
556,VINORELBINE,MK-5108,A2058,-37.9121796494,3
557,VINORELBINE,MK-8669,A2058,-3.3959567475,3
558,VINORELBINE,AZD1775,A2058,-15.9386190969,4
559,VINORELBINE,BEZ-235,A2058,2.7299838694,4
560,VINORELBINE,MK-4827,A2058,-47.2345605414,4
561,ZOLINZA,DINACICLIB,A2058,-41.2926052705,0
562,ZOLINZA,MK-5108,A2058,-16.9291559275,0
563,ZOLINZA,MK-8669,A2058,27.5955560156,0
564,ZOLINZA,SN-38,A2058,-10.4587940993,0
565,ZOLINZA,SORAFENIB,A2058,-5.5826870091,0
566,ZOLINZA,BEZ-235,A2058,22.4282715644,1
567,ZOLINZA,MK-4827,A2058,0.1676616435,1
568,ZOLINZA,MK-8776,A2058,42.0359764302,1
569,ZOLINZA,ABT-888,A2058,13.8382607756,2
570,ZOLINZA,GELDANAMYCIN,A2058,-6.8355048076,2
571,ZOLINZA,GEMCITABINE,A2058,-9.4464626698,2
572,ZOLINZA,LAPATINIB,A2058,-11.5512565318,2
573,ZOLINZA,PD325901,A2058,-3.8721528615,2
575,ZOLINZA,TOPOTECAN,A2058,0.7886681488,2
576,ZOLINZA,DASATINIB,A2058,48.6043316224,3
578,ZOLINZA,SUNITINIB,A2058,-8.9660853516,3
579,ZOLINZA,AZD1775,A2058,-5.765572483,4
580,ZOLINZA,BORTEZOMIB,A2058,7.8300618308,4
581,ZOLINZA,ERLOTINIB,A2058,2.5500774099,4
582,ZOLINZA,MK-2206,A2058,11.176005836,4
583,5-FU,DINACICLIB,A2780,-8.1611286386,0
584,5-FU,MK-8669,A2780,16.2953130836,0
585,5-FU,PD325901,A2780,24.6101491603,0
587,5-FU,AZD1775,A2780,11.2772729471,1
588,5-FU,BEZ-235,A2780,3.9332239081,1
589,5-FU,DASATINIB,A2780,50.6036602621,1
590,5-FU,L778123,A2780,8.7866069583,1
591,5-FU,LAPATINIB,A2780,8.0111248094,1
592,5-FU,ABT-888,A2780,7.7780530601,2
593,5-FU,BORTEZOMIB,A2780,-18.599126219,2
594,5-FU,MK-2206,A2780,18.6562125215,2
595,5-FU,MK-5108,A2780,9.2608129746,2
596,5-FU,SORAFENIB,A2780,2.0773183622,2
597,5-FU,ZOLINZA,A2780,-3.8484012734,2
598,5-FU,ERLOTINIB,A2780,16.5693311017,3
599,5-FU,MK-4827,A2780,9.9200924223,3
600,5-FU,SUNITINIB,A2780,9.7009863748,3
601,5-FU,GELDANAMYCIN,A2780,0.9119639421,4
602,5-FU,MK-8776,A2780,9.9663216014,4
603,ABT-888,SN-38,A2780,27.4431625577,0
604,ABT-888,MK-8669,A2780,6.3782342163,1
605,ABT-888,SORAFENIB,A2780,8.2581551475,1
606,ABT-888,TOPOTECAN,A2780,11.8621326468,1
607,ABT-888,BEZ-235,A2780,29.4397143108,3
608,ABT-888,GELDANAMYCIN,A2780,11.0932315467,3
609,ABT-888,DINACICLIB,A2780,5.3834429122,4
610,ABT-888,MK-8776,A2780,8.0044216366,4
612,AZD1775,DINACICLIB,A2780,-4.9413894555,0
613,AZD1775,MK-5108,A2780,3.7804810411,0
614,AZD1775,SN-38,A2780,0.6751167208,0
615,AZD1775,GELDANAMYCIN,A2780,-3.1198841469,1
616,AZD1775,MK-4827,A2780,9.0742277486,1
618,AZD1775,SORAFENIB,A2780,-1.5076403936,1
619,AZD1775,ABT-888,A2780,8.6237493889,2
620,AZD1775,BORTEZOMIB,A2780,-17.5594804209,2
621,AZD1775,DASATINIB,A2780,63.3161055024,3
622,AZD1775,ERLOTINIB,A2780,3.1007864893,3
623,AZD1775,LAPATINIB,A2780,10.9396388412,3
624,AZD1775,MK-8776,A2780,54.0791044037,3
625,AZD1775,TOPOTECAN,A2780,4.6490619262,3
